action,rack_id,hardware_id,finish_time,e_self_it,e_self_cooling,start_time,computing_time,qos,energy_consumption
0,0,8,236.0,254.663130992,2.54663130992,229.0,0.215241714,0.286878,8.623915022
2,0,16,236.0,114.794151233,1.1479415123299999,231.0,0.040783417,0.23683,3.493269943
0,0,2,340.0,16616.971950344,166.16971950344,14.0,0.378377307,0.487835,22.02489374
0,0,0,355.0,19362.330780606,193.62330780606,12.0,0.378377307,0.399957,22.02489374
0,0,1,355.0,18826.099095254,188.26099095254003,12.0,0.378377307,0.42169700000000004,22.02489374
2,0,0,355.0,8617.234092154,86.17234092154,11.0,0.040369528,0.24887800000000002,4.149884927
2,0,1,355.0,7301.052474292,73.01052474292,13.0,0.040369528,0.329982,4.149884927
2,0,2,366.0,10137.009485542998,101.37009485542998,15.0,0.040369528,0.198326,4.149884927
0,0,3,366.0,19046.286179012,190.46286179012,15.0,0.378377307,0.43118100000000004,22.02489374
2,0,3,366.0,8687.234092154,86.87234092154,15.0,0.040369528,0.253923,4.149884927
2,0,16,384.0,2021.1943352239998,20.21194335224,305.0,0.028054602,0.11733199999999999,2.109958108
2,0,13,451.0,6593.359522167999,65.93359522168,187.0,0.028054602,0.122125,2.109958108
2,0,10,468.0,7557.157674059001,75.57157674059,139.0,0.040783417,0.237873,3.493269943
0,0,0,472.0,2708.3568551599997,27.083568551599996,376.0,0.168585066,0.19223099999999999,4.808776556
2,0,4,683.0,17402.779907629996,174.02779907629997,20.0,0.008844684,0.060080999999999996,1.064684258
0,0,4,689.0,35009.093796896,350.09093796896,16.0,0.12593318,0.134483,6.773681904
2,0,9,767.0,11650.244233956,116.50244233956,104.0,0.0267817,0.29938200000000004,2.535316654
2,0,3,1002.0,4457.971758772001,44.579717587720005,830.0,0.035798463,0.164606,2.980562943
2,0,16,1024.0,35.872497577999994,0.35872497577999995,1022.0,0.0267817,0.281142,2.535316654
2,0,13,1026.0,139.657975894,1.39657975894,1022.0,0.035798463,0.104073,2.980562943
0,0,6,1034.0,54575.136682560005,545.7513668256,65.0,0.449792373,0.46571,25.82014818
2,0,0,1074.0,14598.693770315998,145.98693770315998,420.0,0.0267817,0.183995,2.535316654
2,0,17,1190.0,42776.869712284,427.76869712284,325.0,0.025547585,0.03536,1.650573132
0,0,0,1201.0,18030.901242476,180.30901242476,604.0,0.008672056,0.019553,0.307646299
0,0,8,1205.0,25860.683791003,258.60683791003004,334.0,0.008672056,0.022264,0.307646299
2,0,18,1205.0,47655.535724312,476.55535724312,334.0,0.025547585,0.0312,1.650573132
2,0,19,1205.0,44693.744194626,446.93744194626004,334.0,0.025547585,0.033768,1.650573132
2,0,1,1232.0,10827.171681018002,108.27171681018002,686.0,0.0267817,0.23064899999999997,2.535316654
0,0,2,1263.0,6373.56638748,63.735663874800004,1035.0,0.168585066,0.21759699999999998,4.808776556
0,0,9,1491.0,35906.493284683,359.06493284683,334.0,0.008672056,0.016323,0.307646299
2,0,4,1504.0,15380.831005927997,153.80831005928,868.0,0.028054602,0.128965,2.109958108
2,0,2,1517.0,12376.586702469998,123.76586702469999,802.0,0.0267817,0.310188,2.535316654
2,0,18,1759.0,187.08237363199999,1.87082373632,1752.0,0.028054602,0.108142,2.109958108
2,0,19,1839.0,2233.035538528,22.33035538528,1754.0,0.028054602,0.112294,2.109958108
2,0,12,1937.0,29131.333283148,291.31333283148,149.0,0.0267817,0.36030300000000004,2.535316654
0,0,0,2079.0,41135.457314536,411.35457314536,1202.0,0.12593318,0.167392,6.773681904
2,1,1,2165.0,3220.659208896,32.20659208896,2061.0,0.028054602,0.08720800000000001,2.109958108
2,1,5,2213.0,105.56445782499999,1.05564457825,2209.0,0.035798463,0.15446700000000002,2.980562943
2,0,16,2253.0,22909.715566992,229.09715566992,1290.0,0.040783417,0.223704,3.493269943
2,0,3,2297.0,37469.932865086004,374.69932865086,1021.0,0.035798463,0.135414,2.980562943
2,0,11,2333.0,74833.06229375198,748.3306229375198,142.0,0.028054602,0.075737,2.109958108
2,0,13,2461.0,25475.293244396,254.75293244396002,1064.0,0.0267817,0.27528,2.535316654
2,0,1,2519.0,36712.062253044,367.12062253044,1255.0,0.008844684,0.05126,1.064684258
0,1,3,2521.0,762.2933689390001,7.622933689390001,2508.0,0.072351546,0.069223,4.150088693
0,1,4,2522.0,456.03358416000003,4.560335841600001,2508.0,0.008672056,0.012492,0.307646299
0,0,5,2612.0,75356.885305665,753.56885305665,46.0,0.008672056,0.024402,0.307646299
0,1,3,2622.0,4479.091808976,44.79091808976,2541.0,0.449792373,0.481289,25.82014818
0,0,4,2705.0,34689.883239958996,346.89883239958993,1532.0,0.008672056,0.022994,0.307646299
0,0,3,2725.0,45767.350745740005,457.67350745740004,1434.0,0.215241714,0.320346,8.623915022
2,0,4,2801.0,73100.22126644001,731.0022126644002,1688.0,0.025547585,0.025056000000000002,1.650573132
0,0,6,2821.0,28585.083561959997,285.8508356196,1816.0,0.168585066,0.17418,4.808776556
0,0,8,2914.0,54741.154169984,547.4115416998401,1956.0,0.449792373,0.45339399999999996,25.82014818
2,0,1,2958.0,6988.26546724,69.88265467240001,2690.0,0.028054602,0.11376900000000001,2.109958108
2,0,17,2976.0,48244.435270824004,482.44435270824005,1467.0,0.028054602,0.083262,2.109958108
0,0,9,3005.0,26538.093611954,265.38093611953997,2147.0,0.008672056,0.016666999999999998,0.307646299
2,0,19,3035.0,27055.62496285,270.55624962850004,2011.0,0.040783417,0.187885,3.493269943
2,0,16,3122.0,17986.590755145,179.86590755145,2273.0,0.040369528,0.334841,4.149884927
2,1,10,3179.0,8192.978773395002,81.92978773395002,2858.0,0.040783417,0.198751,3.493269943
2,0,11,3182.0,13581.121701778,135.81121701778,2347.0,0.0267817,0.361904,2.535316654
2,1,15,3187.0,9061.424871244999,90.61424871244999,2918.0,0.040783417,0.13023099999999999,3.493269943
2,1,17,3238.0,9019.506967328,90.19506967328,2950.0,0.028054602,0.08581,2.109958108
2,1,8,3291.0,12622.977723637001,126.22977723637001,2842.0,0.040369528,0.20676,4.149884927
2,1,18,3296.0,4589.707561649999,45.89707561649999,3161.0,0.040783417,0.128493,3.493269943
2,0,8,3299.0,60405.073232782,604.05073232782,55.0,0.0267817,0.263027,2.535316654
2,1,16,3406.0,12631.579684555001,126.31579684555001,2925.0,0.040783417,0.189681,3.493269943
2,0,7,3483.0,79211.38178169001,792.1138178169001,45.0,0.040783417,0.23660799999999998,3.493269943
2,0,18,3484.0,44073.571925015,440.73571925015,1871.0,0.035798463,0.151373,2.980562943
0,0,6,3503.0,15283.82482056,152.8382482056,2955.0,0.168585066,0.225061,4.808776556
2,1,3,3600.0,92100.945298338,921.00945298338,2120.0,0.025547585,0.02671,1.650573132
2,0,7,3628.0,3797.4942606700006,37.974942606700004,3492.0,0.040783417,0.172124,3.493269943
0,1,6,3661.0,2301.979668181,23.01979668181,3585.0,0.008672056,0.019154,0.307646299
2,1,13,3723.0,19616.413392584996,196.16413392584997,2886.0,0.040783417,0.229591,3.493269943
0,1,4,3743.0,66677.013610762,666.77013610762,2559.0,0.449792373,0.465893,25.82014818
0,0,7,3797.0,101433.08819656001,1014.3308819656002,204.0,0.168585066,0.19076400000000002,4.808776556
2,1,4,3797.0,42424.61049026401,424.24610490264007,2162.0,0.028054602,0.11470699999999999,2.109958108
2,1,15,3821.0,9436.365662075,94.36365662075,3474.0,0.035798463,0.15251099999999998,2.980562943
2,1,12,3865.0,27839.79927205,278.3979927205,2886.0,0.040783417,0.16733299999999998,3.493269943
2,1,14,3865.0,24320.171412787,243.20171412787,2889.0,0.040783417,0.206787,3.493269943
2,0,4,3892.0,24196.77175893,241.9677175893,2833.0,0.040783417,0.240116,3.493269943
0,0,6,3910.0,9567.468491956999,95.67468491957,3585.0,0.008672056,0.023898,0.307646299
0,1,7,3910.0,9674.128842171,96.74128842171,3585.0,0.008672056,0.021816,0.307646299
2,2,16,3916.0,4319.965175952,43.19965175952,3750.0,0.028054602,0.114102,2.109958108
2,1,17,3926.0,7490.595231932,74.90595231932001,3610.0,0.040369528,0.273333,4.149884927
2,2,3,3926.0,7098.483887937999,70.98483887937999,3611.0,0.040369528,0.298754,4.149884927
2,1,18,3926.0,6569.032578769999,65.69032578769999,3610.0,0.040369528,0.347111,4.149884927
2,2,6,3936.0,6741.41826818,67.4141826818,3614.0,0.040369528,0.342453,4.149884927
2,2,7,3936.0,6711.448751004,67.11448751004,3614.0,0.040369528,0.345149,4.149884927
2,2,0,3951.0,11210.805413995,112.10805413995,3611.0,0.040369528,0.162996,4.149884927
0,1,8,3951.0,19442.76286946,194.4276286946,3611.0,0.378377307,0.390513,22.02489374
2,2,1,3951.0,7884.189007459,78.84189007459,3611.0,0.040369528,0.28383200000000003,4.149884927
2,2,2,3951.0,7666.910007933,76.66910007933001,3611.0,0.040369528,0.298464,4.149884927
2,2,4,3951.0,8067.752300161999,80.67752300161999,3611.0,0.040369528,0.272862,4.149884927
0,1,9,3952.0,18967.466602898,189.67466602898,3612.0,0.378377307,0.40866399999999997,22.02489374
2,2,5,3952.0,9900.877606486,99.00877606486,3613.0,0.040369528,0.195029,4.149884927
2,2,17,3954.0,2608.33735987,26.0833735987,3785.0,0.0267817,0.41714799999999996,2.535316654
2,2,8,3971.0,7416.067715703999,74.16067715704,3616.0,0.040369528,0.343983,4.149884927
2,1,9,3980.0,36185.645612057,361.85645612057,2850.0,0.035798463,0.119077,2.980562943
0,0,9,4039.0,27813.129059439998,278.1312905944,3044.0,0.168585066,0.217885,4.808776556
