action,rack_id,hardware_id,finish_time,e_self_it,e_self_cooling,start_time,computing_time,qos,energy_consumption
0,0,8,237.0,94.376639446,0.94376639446,235.0,0.449792373,0.548888,25.82014818
2,0,2,330.0,7807.81326581,78.0781326581,10.0,0.040369528,0.259969,4.149884927
2,0,3,330.0,7455.671438992,74.55671438992,10.0,0.040369528,0.281445,4.149884927
2,0,4,330.0,7069.813905350999,70.69813905350999,10.0,0.040369528,0.309606,4.149884927
2,0,6,331.0,6618.971613122,66.18971613122001,16.0,0.040369528,0.340161,4.149884927
0,0,1,331.0,18233.782849076,182.33782849076002,15.0,0.378377307,0.383972,22.02489374
2,0,5,331.0,7475.610473344,74.75610473344,15.0,0.040369528,0.274113,4.149884927
0,0,0,340.0,17945.364079966,179.45364079965998,14.0,0.378377307,0.419537,22.02489374
0,0,2,366.0,19821.382042072,198.21382042072,18.0,0.378377307,0.393282,22.02489374
0,0,0,499.0,3407.635769738,34.07635769738,383.0,0.008672056,0.024337,0.307646299
2,0,6,631.0,155.64850896299998,1.5564850896299998,625.0,0.040783417,0.189202,3.493269943
2,0,12,672.0,20730.433224697,207.30433224697,154.0,0.040369528,0.12477200000000001,4.149884927
0,0,6,684.0,17312.061005159005,173.12061005159006,168.0,0.008672056,0.010883,0.307646299
0,0,3,758.0,39476.45333993399,394.76453339933994,27.0,0.072351546,0.081023,4.150088693
2,0,15,830.0,15653.806171134001,156.53806171134002,239.0,0.040783417,0.187091,3.493269943
2,1,1,889.0,4524.0944268680005,45.24094426868,732.0,0.008844684,0.051873,1.064684258
2,0,18,959.0,20575.249539136,205.75249539136,305.0,0.028054602,0.085239,2.109958108
0,0,5,959.0,45805.768514200005,458.0576851420001,62.0,0.12593318,0.13960999999999998,6.773681904
2,1,8,1025.0,82.45156625999999,0.8245156626,1022.0,0.035798463,0.145801,2.980562943
2,0,14,1032.0,20508.890401687997,205.08890401687998,207.0,0.028054602,0.12311400000000002,2.109958108
2,1,0,1047.0,9165.556047623999,91.65556047623998,720.0,0.035798463,0.145421,2.980562943
2,0,3,1120.0,16171.052730508001,161.71052730508,489.0,0.040783417,0.197403,3.493269943
2,0,19,1190.0,54452.673184368,544.5267318436801,324.0,0.025547585,0.026382999999999997,1.650573132
0,0,9,1190.0,24916.350916873,249.16350916873003,324.0,0.008672056,0.029646,0.307646299
0,1,0,1190.0,27618.276167556003,276.18276167556,324.0,0.008672056,0.013947,0.307646299
0,1,1,1190.0,25804.228485488,258.04228485488,324.0,0.008672056,0.021641,0.307646299
2,0,5,1201.0,36743.055846356,367.43055846356003,604.0,0.025547585,0.027063999999999998,1.650573132
0,1,2,1204.0,25940.768931315997,259.40768931315995,334.0,0.008672056,0.021528,0.307646299
0,1,3,1205.0,25714.991340364,257.14991340363997,334.0,0.008672056,0.023321,0.307646299
2,0,6,1232.0,9958.719313536,99.58719313536,686.0,0.0267817,0.27517199999999997,2.535316654
2,0,2,1235.0,20487.201233526997,204.87201233526997,451.0,0.040783417,0.191241,3.493269943
2,0,14,1264.0,8421.588095793999,84.21588095793999,1035.0,0.035798463,0.097932,2.980562943
2,0,11,1315.0,25758.241659074003,257.58241659074,141.0,0.040369528,0.313688,4.149884927
2,0,9,1379.0,21642.42371634,216.4242371634,56.0,0.0267817,0.356592,2.535316654
0,2,1,1456.0,15928.942506042,159.28942506042,1159.0,0.449792373,0.510933,25.82014818
0,0,0,1509.0,28458.038850408,284.58038850408,536.0,0.008672056,0.025301,0.307646299
2,1,6,1636.0,19407.737300002,194.07737300002003,942.0,0.035798463,0.145974,2.980562943
2,0,12,1694.0,28666.657371668996,286.66657371669,719.0,0.035798463,0.135155,2.980562943
0,1,9,1779.0,21314.497123393005,213.14497123393005,1082.0,0.008672056,0.01794,0.307646299
2,1,6,1816.0,105.56445782499998,1.0556445782499997,1812.0,0.035798463,0.157833,2.980562943
2,1,10,1816.0,121.790240955,1.21790240955,1813.0,0.035798463,0.08396,2.980562943
2,1,11,1816.0,90.319301199,0.90319301199,1813.0,0.035798463,0.128944,2.980562943
0,1,0,1869.0,15213.059973486,152.13059973486,1478.0,0.215241714,0.23452800000000001,8.623915022
2,1,6,1870.0,1164.447186848,11.64447186848,1826.0,0.028054602,0.11084200000000001,2.109958108
2,1,7,1902.0,26038.108333653,260.38108333652997,1014.0,0.040783417,0.159674,3.493269943
2,0,4,1903.0,34868.462108534,348.68462108534,563.0,0.040783417,0.192572,3.493269943
2,0,9,1933.0,9691.713662032998,96.91713662032998,1604.0,0.035798463,0.134759,2.980562943
0,1,1,1994.0,7943.789491082,79.43789491081999,1852.0,0.449792373,0.47049799999999997,25.82014818
2,1,10,2001.0,5352.301597502001,53.52301597502001,1828.0,0.040783417,0.147256,3.493269943
2,0,18,2005.0,51449.5952978,514.495952978,970.0,0.008844684,0.024584,1.064684258
2,1,4,2028.0,36889.648238498,368.89648238498,895.0,0.035798463,0.116252,2.980562943
2,1,10,2091.0,367.79497439600004,3.6779497439600006,2071.0,0.0267817,0.26675,2.535316654
0,0,4,2342.0,67300.99903718798,673.0099903718799,44.0,0.008672056,0.025001,0.307646299
2,0,12,2343.0,9062.347023557999,90.62347023557999,1749.0,0.0267817,0.431309,2.535316654
2,1,12,2397.0,5793.057855049,57.93057855049,2204.0,0.035798463,0.130945,2.980562943
0,0,9,2411.0,53503.961235560004,535.0396123556001,1405.0,0.12593318,0.128721,6.773681904
2,0,9,2429.0,10126.807332618,101.26807332618,1976.0,0.040369528,0.303082,4.149884927
2,2,7,2524.0,976.600548022,9.76600548022,2506.0,0.025547585,0.031469,1.650573132
2,0,9,2553.0,6316.513873298,63.165138732980004,2436.0,0.025547585,0.031711,1.650573132
2,1,3,2561.0,53163.59467208,531.6359467208,887.0,0.028054602,0.084075,2.109958108
0,2,1,2605.0,155.46971778600002,1.5546971778600003,2601.0,0.215241714,0.224656,8.623915022
2,1,14,2609.0,10236.983522296,102.36983522295999,2247.0,0.028054602,0.10008,2.109958108
2,2,8,2622.0,1971.889824232,19.718898242319998,2540.0,0.0267817,0.161324,2.535316654
2,2,2,2651.0,4735.9846740680005,47.359846740680005,2391.0,0.0267817,0.275839,2.535316654
2,2,7,2673.0,3399.7944781199994,33.9979447812,2537.0,0.028054602,0.121874,2.109958108
0,0,0,2705.0,34291.92016131,342.91920161310003,1532.0,0.008672056,0.025406,0.307646299
2,1,5,2758.0,37726.531423225,377.26531423225003,924.0,0.040369528,0.354394,4.149884927
2,2,5,2775.0,8147.55159453,81.4755159453,2457.0,0.040783417,0.197491,3.493269943
0,1,3,2778.0,22968.191970344,229.68191970344,2182.0,0.215241714,0.241483,8.623915022
2,1,1,2786.0,40373.18953942799,403.73189539427995,893.0,0.040369528,0.33069899999999997,4.149884927
2,0,5,2794.0,29230.818274566,292.30818274566,1511.0,0.040369528,0.293038,4.149884927
2,0,11,2821.0,29686.770986204,296.86770986204,1664.0,0.035798463,0.167483,2.980562943
2,0,14,2821.0,32062.826937782003,320.62826937782006,1664.0,0.035798463,0.148057,2.980562943
2,1,14,2893.0,9552.14832452,95.5214832452,2654.0,0.028054602,0.06104299999999999,2.109958108
2,1,14,2928.0,664.3673734539999,6.643673734539999,2903.0,0.035798463,0.15801099999999998,2.980562943
2,2,8,2947.0,31.337498269999994,0.31337498269999997,2945.0,0.0267817,0.355093,2.535316654
2,2,3,2956.0,15662.791944786,156.62791944786,2393.0,0.008844684,0.054778999999999994,1.064684258
2,1,10,2990.0,54243.40859206801,542.4340859206801,2124.0,0.025547585,0.026504000000000003,1.650573132
2,1,11,3005.0,48813.210515597995,488.13210515597996,2147.0,0.025547585,0.029751,1.650573132
0,1,1,3005.0,25438.292281242,254.38292281242002,2147.0,0.008672056,0.022522999999999998,0.307646299
0,1,2,3005.0,25493.01939468,254.9301939468,2147.0,0.008672056,0.022136000000000003,0.307646299
2,0,19,3083.0,41995.84317884399,419.95843178843995,1750.0,0.040369528,0.174189,4.149884927
2,1,17,3122.0,14967.671473417999,149.67671473418,2298.0,0.0267817,0.277696,2.535316654
2,0,4,3127.0,32096.43917499,320.9643917499,1963.0,0.040783417,0.17555199999999999,3.493269943
2,1,12,3139.0,11702.376845021998,117.02376845021998,2398.0,0.0267817,0.391371,2.535316654
2,1,15,3219.0,24273.066481124,242.73066481124,2269.0,0.040783417,0.198406,3.493269943
2,1,16,3291.0,20067.280633254,200.67280633253998,2289.0,0.040369528,0.373554,4.149884927
0,1,0,3309.0,35496.039898523,354.96039898523,2120.0,0.008672056,0.021322999999999998,0.307646299
2,0,2,3386.0,63102.143251434005,631.0214325143401,1475.0,0.040783417,0.134023,3.493269943
0,1,4,3395.0,82859.671328032,828.5967132803199,583.0,0.008672056,0.023705,0.307646299
0,1,2,3426.0,15417.373875336001,154.17373875336003,3094.0,0.12593318,0.17115,6.773681904
2,2,9,3470.0,2048.6298491439998,20.48629849144,3364.0,0.0267817,0.242945,2.535316654
2,1,6,3484.0,41470.480575856,414.70480575856004,1884.0,0.035798463,0.164743,2.980562943
2,2,10,3585.0,3251.617215934,32.51617215934,3446.0,0.0267817,0.16913499999999998,2.535316654
2,2,11,3585.0,2621.252312122,26.212523121220002,3446.0,0.0267817,0.255673,2.535316654
2,1,15,3597.0,4968.0746920599995,49.680746920599994,3302.0,0.0267817,0.331352,2.535316654
2,2,3,3721.0,22141.149621165,221.41149621165002,3082.0,0.040783417,0.12516300000000002,3.493269943
0,1,1,3751.0,26113.011389958003,261.13011389958,3067.0,0.215241714,0.248561,8.623915022
2,0,13,3754.0,122271.33283503698,1222.71332835037,168.0,0.035798463,0.10883399999999999,2.980562943
2,0,14,3796.0,30748.683438631997,307.48683438631997,2876.0,0.040783417,0.131711,3.493269943
0,2,7,3803.0,3357.3280178290006,33.573280178290005,3690.0,0.008672056,0.022142,0.307646299
2,0,13,3868.0,1775.7148968919998,17.75714896892,3758.0,0.0267817,0.36840300000000004,2.535316654
0,1,2,3910.0,9610.362716003,96.10362716002999,3585.0,0.008672056,0.023015,0.307646299
0,1,4,3910.0,9510.769230286998,95.10769230286998,3585.0,0.008672056,0.025175,0.307646299
2,2,10,3910.0,19522.414697248,195.22414697248,3585.0,0.025547585,0.027862,1.650573132
0,2,2,3910.0,10322.143882069,103.22143882069,3585.0,0.008672056,0.014265,0.307646299
2,1,15,3926.0,9000.309659673001,90.00309659673002,3610.0,0.040369528,0.202692,4.149884927
2,0,2,3934.0,16566.938456753996,165.66938456753996,3394.0,0.035798463,0.126807,2.980562943
2,2,15,3936.0,8674.452126032,86.74452126032,3614.0,0.040369528,0.221057,4.149884927
2,1,12,3936.0,26152.473010289,261.52473010289,3139.0,0.040783417,0.135232,3.493269943
2,2,13,3951.0,7164.920595234999,71.64920595235,3611.0,0.040369528,0.338029,4.149884927
