action,rack_id,hardware_id,finish_time,e_self_it,e_self_cooling,start_time,computing_time,qos,energy_consumption
2,0,7,61.0,1134.344619284,11.34344619284,12.0,0.040369528,0.283656,4.149884927
3,0,0,61.0,1385.35203392,360.1915288192,12.0,0.036708363,0.30495500000000003,5.963033842
2,1,12,235.0,167.525710833,1.67525710833,229.0,0.035798463,0.144036,2.980562943
2,1,13,237.0,111.29992770299998,1.11299927703,234.0,0.035798463,0.09627899999999999,2.980562943
2,0,1,330.0,6279.367889834,62.793678898340005,10.0,0.040369528,0.388851,4.149884927
2,0,4,330.0,7625.4885420479995,76.25488542048,11.0,0.040369528,0.269312,4.149884927
2,0,14,331.0,6641.448751003999,66.41448751003999,16.0,0.040369528,0.337665,4.149884927
2,0,11,340.0,6830.118733591,68.30118733591,14.0,0.040369528,0.341723,4.149884927
2,0,2,355.0,8508.594592391,85.08594592391,11.0,0.040369528,0.25414899999999996,4.149884927
2,0,5,355.0,7318.544853586,73.18544853586,12.0,0.040369528,0.330351,4.149884927
2,0,3,355.0,6901.479233828,69.01479233828,11.0,0.040369528,0.37208,4.149884927
2,0,6,355.0,7288.575336409999,72.8857533641,12.0,0.040369528,0.332841,4.149884927
2,0,8,355.0,6453.175045128999,64.53175045129,12.0,0.040369528,0.424858,4.149884927
2,0,9,355.0,7836.757593813,78.36757593813,13.0,0.040369528,0.28986300000000004,4.149884927
2,0,15,366.0,6543.144562305,65.43144562305001,17.0,0.040369528,0.42799799999999993,4.149884927
2,0,12,366.0,6885.3168719469995,68.85316871946999,15.0,0.040369528,0.389355,4.149884927
2,0,13,366.0,9103.061142970999,91.03061142970999,15.0,0.040369528,0.23494,4.149884927
2,0,16,366.0,8971.914022502,89.71914022502,18.0,0.040369528,0.237323,4.149884927
2,1,9,415.0,7232.453796936,72.32453796936,176.0,0.028054602,0.09027400000000001,2.109958108
2,0,17,624.0,38699.450873772,386.99450873772,25.0,0.025547585,0.024012000000000002,1.650573132
2,0,15,630.0,73.196100822,0.7319610082200001,627.0,0.040783417,0.201164,3.493269943
2,1,12,630.0,9468.5304948,94.685304948,296.0,0.028054602,0.099687,2.109958108
2,0,13,663.0,1145.882438066,11.458824380660001,589.0,0.0267817,0.41264700000000004,2.535316654
2,0,8,689.0,4457.776956176,44.57776956176,518.0,0.028054602,0.113845,2.109958108
2,0,18,758.0,16946.439553078002,169.46439553078002,27.0,0.008844684,0.074055,1.064684258
2,0,2,842.0,11293.607209563,112.93607209563001,401.0,0.040783417,0.197669,3.493269943
2,0,16,1003.0,4085.6684816579996,40.85668481658,874.0,0.035798463,0.12091199999999999,2.980562943
2,1,7,1019.0,14969.38664711,149.6938664711,81.0,0.0267817,0.380418,2.535316654
2,1,5,1019.0,15517.536584829997,155.17536584829998,67.0,0.0267817,0.359827,2.535316654
3,0,2,1023.0,19.64038316,5.1064996216,1022.0,0.020054302,0.339803,5.0207346
2,0,16,1025.0,136.05477107699997,1.3605477107699997,1019.0,0.035798463,0.20508400000000002,2.980562943
2,1,11,1032.0,22713.331967727998,227.13331967727999,207.0,0.028054602,0.104351,2.109958108
2,1,5,1050.0,457.25142671199995,4.57251426712,1032.0,0.008844684,0.063269,1.064684258
0,0,3,1190.0,26437.123722274002,264.37123722274004,324.0,0.008672056,0.018147999999999997,0.307646299
2,0,10,1198.0,25970.378967711997,259.70378967711997,14.0,0.028054602,0.153288,2.109958108
0,0,7,1201.0,17817.334023519,178.17334023519,604.0,0.008672056,0.021372,0.307646299
0,0,4,1204.0,25833.451198358,258.33451198358,334.0,0.008672056,0.022247,0.307646299
2,0,19,1231.0,34401.219045068,344.01219045068,29.0,0.008844684,0.052427999999999995,1.064684258
2,1,7,1232.0,7125.886716309999,71.25886716309999,1033.0,0.0267817,0.08784299999999999,2.535316654
