action,rack_id,hardware_id,finish_time,e_self_it,e_self_cooling,start_time,computing_time,qos,energy_consumption
2,0,3,36.0,504.740895996,5.04740895996,11.0,0.040369528,0.363165,4.149884927
2,0,17,235.0,69.338674695,0.6933867469499999,232.0,0.035798463,0.192217,2.980562943
2,0,2,330.0,6527.854975476999,65.27854975477,11.0,0.040369528,0.35781,4.149884927
2,0,0,330.0,8755.599246500999,87.55599246501,10.0,0.040369528,0.21572800000000003,4.149884927
2,0,7,331.0,7094.737698291,70.94737698291,16.0,0.040369528,0.299133,4.149884927
2,0,8,331.0,8244.81791992,82.4481791992,16.0,0.040369528,0.231541,4.149884927
2,0,1,355.0,7886.727110989,78.86727110989,11.0,0.040369528,0.289601,4.149884927
2,0,4,355.0,7820.534266283999,78.20534266284,12.0,0.040369528,0.292571,4.149884927
2,0,5,366.0,7956.727110989001,79.56727110989002,15.0,0.040369528,0.295654,4.149884927
2,0,6,366.0,9571.334848846,95.71334848846,15.0,0.040369528,0.216875,4.149884927
2,0,9,366.0,7071.357302531999,70.71357302531999,17.0,0.040369528,0.364917,4.149884927
2,0,10,366.0,6648.037872420999,66.48037872420998,17.0,0.040369528,0.41370100000000004,4.149884927
2,0,11,366.0,7311.11343994,73.1111343994,17.0,0.040369528,0.341888,4.149884927
3,0,1,366.0,11180.027491711999,2906.8071478451197,18.0,0.036708363,0.25287800000000005,5.963033842
3,0,0,366.0,12051.80382436,3133.4689943336,17.0,0.036708363,0.227989,5.963033842
2,0,13,597.0,14340.243902777998,143.40243902778,30.0,0.035798463,0.171469,2.980562943
2,0,15,616.0,11985.039328825998,119.85039328825998,151.0,0.040369528,0.237423,4.149884927
0,0,0,624.0,17257.1951344,172.571951344,26.0,0.008672056,0.02875,0.307646299
2,0,5,663.0,1177.627433222,11.77627433222,589.0,0.0267817,0.381706,2.535316654
1,0,1,888.0,60983.90444442799,15855.81515555128,305.0,0.233688547,0.372146,35.33893188
2,0,1,928.0,15825.718439629,158.25718439629,417.0,0.040783417,0.147129,3.493269943
2,0,4,933.0,6396.402111441999,63.96402111441999,548.0,0.0267817,0.342536,2.535316654
2,1,0,940.0,737.7995662179999,7.377995662179999,915.0,0.035798463,0.13403800000000002,2.980562943
2,0,14,959.0,22322.125841287998,223.22125841288,35.0,0.028054602,0.129205,2.109958108
1,0,1,1025.0,195.114409281,50.729746413060006,1018.0,0.169374289,0.133605,4.723595155
2,0,12,1074.0,68031.724672194,680.31724672194,21.0,0.025547585,0.022262,1.650573132
