action,rack_id,hardware_id,finish_time,e_self_it,e_self_cooling,start_time,computing_time,qos,energy_consumption
3,0,0,235.0,88.21634129400002,22.936248736440007,232.0,0.035004458,0.158912,3.584285763
2,1,0,265.0,781.5737830879999,7.815737830879999,233.0,0.035798463,0.181361,2.980562943
2,0,16,265.0,1992.1205766459998,19.921205766459998,168.0,0.008844684,0.092576,1.064684258
2,0,0,330.0,6125.774114307,61.25774114307,10.0,0.040369528,0.40921399999999997,4.149884927
2,0,1,330.0,5919.733683722001,59.19733683722001,10.0,0.040369528,0.44058800000000004,4.149884927
2,0,7,331.0,7198.392439466,71.98392439466,15.0,0.040369528,0.29291,4.149884927
2,0,2,331.0,6354.291682773999,63.542916827739994,11.0,0.040369528,0.379603,4.149884927
2,0,5,331.0,6052.088890308,60.52088890308001,12.0,0.040369528,0.41716000000000003,4.149884927
2,0,3,331.0,8639.467367443998,86.39467367443999,11.0,0.040369528,0.22025799999999998,4.149884927
2,0,8,331.0,8475.843109093,84.75843109093,15.0,0.040369528,0.22265700000000002,4.149884927
2,0,6,355.0,7558.300990993999,75.58300990993999,12.0,0.040369528,0.31117100000000003,4.149884927
2,0,4,355.0,7661.955732169,76.61955732169,11.0,0.040369528,0.305174,4.149884927
2,0,14,456.0,5551.847231158,55.51847231158,77.0,0.0267817,0.487308,2.535316654
0,0,2,524.0,3650.5781487199997,36.5057814872,396.0,0.168585066,0.16885899999999998,4.808776556
2,0,6,663.0,1175.3599335679999,11.753599335679999,589.0,0.0267817,0.38408600000000004,2.535316654
2,0,0,674.0,9263.18232643,92.6318232643,337.0,0.040783417,0.176402,3.493269943
2,0,9,758.0,19459.51229283,194.59512292830001,26.0,0.008844684,0.058864,1.064684258
2,0,10,792.0,14534.258002244998,145.34258002245,26.0,0.040369528,0.417414,4.149884927
2,1,0,911.0,15345.003586244,153.45003586244,303.0,0.0267817,0.14877200000000002,2.535316654
2,0,3,928.0,8854.988521340001,88.54988521340002,530.0,0.040783417,0.251897,3.493269943
2,0,3,1024.0,114.794151233,1.1479415123299999,1019.0,0.040783417,0.230159,3.493269943
2,0,16,1047.0,14895.156520249,148.95156520249,302.0,0.040783417,0.308728,3.493269943
2,1,4,1048.0,306.57248373799996,3.0657248373799995,1028.0,0.0267817,0.419088,2.535316654
2,0,3,1053.0,635.5190120109999,6.355190120109999,1028.0,0.035798463,0.16994,2.980562943
1,0,6,1096.0,12551.251900995001,3263.3254942587005,776.0,0.216643645,0.170106,8.497495705
2,1,2,1113.0,5085.8796069439995,50.85879606944,862.0,0.0267817,0.220831,2.535316654
0,0,5,1135.0,10785.752742029003,107.85752742029003,766.0,0.008672056,0.025443,0.307646299
1,0,2,1190.0,25212.970899212003,6555.372433795121,325.0,0.008512394,0.026304,0.304127587
0,0,1,1190.0,25295.627378549,252.95627378549003,325.0,0.008672056,0.025334,0.307646299
1,0,4,1205.0,25149.536740262,6538.87955246812,334.0,0.008512394,0.028807999999999997,0.304127587
2,0,8,1247.0,13402.501225296,134.02501225296,644.0,0.040369528,0.30636199999999997,4.149884927
2,1,5,1264.0,5890.800023748999,58.908000237489986,1035.0,0.035798463,0.166724,2.980562943
2,1,2,1329.0,5524.4359452319995,55.24435945232,1145.0,0.028054602,0.091351,2.109958108
3,0,1,1478.0,2291.2466620359996,595.7241321293599,1408.0,0.035004458,0.142015,3.584285763
1,0,3,1491.0,32759.096739189998,8517.365152189399,334.0,0.008512394,0.035787,0.304127587
2,1,7,1505.0,9853.818829992,98.53818829992001,1189.0,0.028054602,0.086345,2.109958108
1,0,1,1572.0,39192.434625912,10190.03300273712,255.0,0.008512394,0.022029,0.304127587
0,0,6,1572.0,19032.929666513002,190.32929666513002,918.0,0.008672056,0.026487,0.307646299
2,1,5,1628.0,8857.502854805,88.57502854805,1293.0,0.040783417,0.187594,3.493269943
2,1,3,1631.0,12277.684245027998,122.77684245027999,898.0,0.0267817,0.335847,2.535316654
2,0,14,1742.0,21878.782320767998,218.78782320768,657.0,0.040369528,0.368525,4.149884927
2,1,6,1749.0,19320.753550032,193.20753550032,1186.0,0.008844684,0.040144,1.064684258
2,0,17,1752.0,45754.558254191994,457.54558254191994,183.0,0.028054602,0.095471,2.109958108
2,1,11,1862.0,5623.965395792,56.23965395792,1690.0,0.028054602,0.080591,2.109958108
2,1,4,1896.0,18869.213835728,188.69213835728,1181.0,0.028054602,0.111606,2.109958108
2,1,5,1937.0,5648.900544104,56.48900544104,1680.0,0.028054602,0.152644,2.109958108
2,0,13,1952.0,43037.877498914,430.37877498914,69.0,0.040369528,0.29138200000000003,4.149884927
1,0,9,2031.0,3429.945665061,891.7858729158601,1917.0,0.008512394,0.020259,0.304127587
2,1,10,2058.0,8804.092018714,88.04092018714,1493.0,0.0267817,0.405926,2.535316654
2,1,15,2211.0,141.29992770299998,1.4129992770299997,2205.0,0.035798463,0.193253,2.980562943
2,1,16,2212.0,141.790240955,1.4179024095500001,2207.0,0.035798463,0.139246,2.980562943
2,0,2,2297.0,48564.234430821,485.64234430821,461.0,0.035798463,0.159409,2.980562943
2,0,15,2366.0,46335.36987820799,463.3536987820799,154.0,0.040369528,0.342179,4.149884927
2,0,3,2461.0,29586.270117097996,295.86270117097996,1064.0,0.0267817,0.202821,2.535316654
2,1,19,2523.0,256.572483738,2.5657248373800003,2508.0,0.0267817,0.315548,2.535316654
2,0,3,2527.0,314.71248097,3.1471248097,2508.0,0.0267817,0.339352,2.535316654
2,0,15,2574.0,5424.944373079,54.24944373079,2378.0,0.040783417,0.174453,3.493269943
2,1,10,2592.0,15244.303926736999,152.44303926736998,2077.0,0.035798463,0.13378900000000002,2.980562943
2,1,10,2607.0,95.564457825,0.95564457825,2604.0,0.035798463,0.11799100000000001,2.980562943
2,0,12,2630.0,39858.267839575994,398.58267839575996,60.0,0.0267817,0.411545,2.535316654
2,0,15,2639.0,1438.3648681759998,14.383648681759999,2587.0,0.028054602,0.10351300000000001,2.109958108
2,1,18,2680.0,5704.844538435999,57.048445384359994,2412.0,0.0267817,0.20085,2.535316654
1,0,1,2710.0,31047.834197781,8072.436891423061,1639.0,0.008512394,0.027698,0.304127587
2,1,7,2794.0,28489.072724459995,284.89072724459993,1511.0,0.040369528,0.3069,4.149884927
2,1,15,2805.0,16652.331971371,166.52331971371,2228.0,0.040783417,0.163578,3.493269943
2,1,19,2812.0,345.119977856,3.45119977856,2792.0,0.0267817,0.310241,2.535316654
