action,rack_id,hardware_id,finish_time,e_self_it,e_self_cooling,start_time,computing_time,qos,energy_consumption
2,0,7,74.0,2066.661797064,20.66661797064,42.0,0.025547585,0.024749,1.650573132
2,0,17,236.0,133.92250601599997,1.3392250601599998,231.0,0.035798463,0.15247,2.980562943
2,0,2,331.0,6872.504423000999,68.72504423000998,12.0,0.040369528,0.324419,4.149884927
2,0,1,355.0,7947.904714282,79.47904714282001,12.0,0.040369528,0.284281,4.149884927
2,0,0,355.0,8117.752300161999,81.17752300161999,10.0,0.040369528,0.27686900000000003,4.149884927
0,0,0,355.0,20022.059136022,200.22059136022,11.0,0.378377307,0.277352,22.02489374
2,0,3,355.0,6872.748285593,68.72748285593,12.0,0.040369528,0.37312399999999996,4.149884927
2,0,6,366.0,8462.432230509998,84.62432230509998,18.0,0.040369528,0.261562,4.149884927
2,0,4,366.0,8597.325540626,85.97325540626,15.0,0.040369528,0.258443,4.149884927
2,0,5,366.0,7608.331473817999,76.08331473818,15.0,0.040369528,0.32073,4.149884927
2,0,0,478.0,2581.7120495279996,25.817120495279998,381.0,0.028054602,0.110019,2.109958108
2,0,12,551.0,28168.730214612002,281.68730214612003,115.0,0.025547585,0.021702000000000003,1.650573132
2,0,0,559.0,2087.9061099519995,20.879061099519994,479.0,0.028054602,0.113514,2.109958108
2,0,18,630.0,8476.989143104,84.76989143104,296.0,0.028054602,0.11893599999999999,2.109958108
3,0,0,646.0,14796.023775663998,3846.96618167264,158.0,0.036708363,0.275364,5.963033842
2,0,0,658.0,5749.123833206,57.49123833206,569.0,0.025547585,0.020454,1.650573132
0,0,2,767.0,38059.055514468,380.59055514467997,104.0,0.449792373,0.291769,25.82014818
2,0,19,888.0,13517.181155644,135.17181155644002,305.0,0.040369528,0.284078,4.149884927
2,0,2,927.0,11013.877279386,110.13877279386001,468.0,0.040783417,0.220433,3.493269943
2,0,6,948.0,5158.71220417,51.587122041700006,626.0,0.0267817,0.37649099999999996,2.535316654
2,1,1,1024.0,193.75149396299997,1.9375149396299998,1018.0,0.035798463,0.116316,2.980562943
2,0,9,1040.0,29827.574182296,298.27574182296,91.0,0.028054602,0.08536200000000001,2.109958108
2,1,2,1047.0,125.34999307999999,1.2534999307999999,1039.0,0.0267817,0.398425,2.535316654
2,1,0,1062.0,21383.543660016,213.83543660016,329.0,0.028054602,0.095417,2.109958108
