action,rack_id,hardware_id,finish_time,e_self_it,e_self_cooling,start_time,computing_time,qos,energy_consumption
2,0,12,235.0,139.16766264199998,1.3916766264199998,230.0,0.035798463,0.14294500000000002,2.980562943
2,0,13,236.0,121.299927703,1.21299927703,232.0,0.035798463,0.125503,2.980562943
2,0,2,331.0,7179.661491231,71.79661491231,15.0,0.040369528,0.29428699999999997,4.149884927
3,0,0,331.0,9825.968602916,2554.75183675816,16.0,0.036708363,0.263875,5.963033842
2,0,1,340.0,10632.501225295999,106.32501225296,14.0,0.040369528,0.165605,4.149884927
2,0,0,355.0,6595.530251714999,65.95530251714999,12.0,0.040369528,0.40576,4.149884927
3,0,1,366.0,11022.148985352002,2865.7587361915207,17.0,0.036708363,0.259131,5.963033842
1,0,0,366.0,40378.91567474399,10498.518075433438,15.0,0.233688547,0.328598,35.33893188
2,0,3,366.0,8787.112160858,87.87112160858,17.0,0.040369528,0.24676199999999998,4.149884927
1,0,1,378.0,2007.942047425,522.0649323305,306.0,0.169374289,0.16300499999999998,4.723595155
2,0,19,631.0,98.623279687,0.98623279687,627.0,0.040783417,0.20613099999999998,3.493269943
2,0,0,842.0,14653.314771213001,146.53314771213002,389.0,0.040783417,0.13803900000000002,3.493269943
2,0,12,885.0,16282.395940056,162.82395940056,288.0,0.028054602,0.1059,2.109958108
2,0,5,909.0,24691.642207705998,246.91642207706,23.0,0.008844684,0.05463099999999999,1.064684258
2,0,6,909.0,22249.09618787,222.4909618787,23.0,0.008844684,0.064599,1.064684258
2,1,0,913.0,8339.224527744,83.39224527744,644.0,0.028054602,0.08709299999999999,2.109958108
2,1,4,919.0,2884.4061923920003,28.844061923920005,806.0,0.028054602,0.117824,2.109958108
2,0,14,928.0,15564.850896299999,155.64850896299998,328.0,0.040783417,0.19351600000000002,3.493269943
2,0,6,940.0,562.086819247,5.62086819247,915.0,0.035798463,0.20973200000000003,2.980562943
2,0,9,959.0,25508.849956832,255.08849956832,48.0,0.028054602,0.101622,2.109958108
2,0,3,971.0,12527.671934431999,125.27671934432,480.0,0.028054602,0.117908,2.109958108
1,0,5,1011.0,12152.926117824,3159.76079063424,801.0,0.121515624,0.11144100000000001,7.032627357
2,0,4,1028.0,65059.15446731201,650.5915446731201,21.0,0.025547585,0.024394,1.650573132
2,0,3,1044.0,253.897487198,2.53897487198,1027.0,0.0267817,0.45078199999999996,2.535316654
2,0,18,1154.0,8529.327004182,85.29327004182,626.0,0.0267817,0.368212,2.535316654
2,0,13,1190.0,55949.612567954005,559.4961256795401,324.0,0.025547585,0.021405,1.650573132
2,0,2,1205.0,56273.051635226,562.73051635226,334.0,0.025547585,0.015121,1.650573132
2,0,11,1304.0,29796.806724263,297.96806724263,216.0,0.040783417,0.17744300000000002,3.493269943
1,0,0,1484.0,60939.461117445,15844.259890535699,431.0,0.121515624,0.071215,7.032627357
