action,rack_id,hardware_id,finish_time,e_self_it,e_self_cooling,start_time,computing_time,qos,energy_consumption
2,1,1,237.0,77.206409634,0.77206409634,234.0,0.035798463,0.16577,2.980562943
2,0,4,331.0,6641.448751004,66.41448751004,16.0,0.040369528,0.337878,4.149884927
2,0,2,331.0,6636.494475239999,66.36494475239999,12.0,0.040369528,0.346694,4.149884927
2,0,0,355.0,6589.306924186,65.89306924186,10.0,0.040369528,0.411423,4.149884927
2,0,1,355.0,6448.190286540999,64.48190286540999,11.0,0.040369528,0.428336,4.149884927
2,0,5,360.0,9297.18688218,92.9718688218,17.0,0.008844684,0.05706900000000001,1.064684258
2,0,8,366.0,6469.459338306,64.69459338306,18.0,0.040369528,0.43600200000000006,4.149884927
2,0,9,366.0,8323.823213570999,83.23823213570999,18.0,0.040369528,0.26902600000000004,4.149884927
2,0,10,366.0,7188.72775053,71.8872775053,18.0,0.040369528,0.351448,4.149884927
2,0,6,366.0,9978.400468603999,99.78400468603999,17.0,0.040369528,0.201405,4.149884927
2,0,7,366.0,6059.886097842,60.59886097842,17.0,0.040369528,0.508638,4.149884927
2,0,3,366.0,7155.042526531,71.55042526531,15.0,0.040369528,0.360646,4.149884927
2,1,5,373.0,1461.52956048,14.615295604800002,311.0,0.028054602,0.13459000000000002,2.109958108
2,0,17,445.0,8371.252280872,83.71252280872001,183.0,0.040783417,0.140504,3.493269943
2,0,19,493.0,6858.4838879379995,68.58483887938,202.0,0.040369528,0.275886,4.149884927
2,0,6,631.0,422.25783129999996,4.222578313,615.0,0.035798463,0.159671,2.980562943
2,1,3,648.0,6851.784062067999,68.51784062067999,279.0,0.040369528,0.436963,4.149884927
2,0,0,741.0,6281.689630471999,62.81689630472,355.0,0.0267817,0.361143,2.535316654
2,0,2,795.0,8279.50079692,82.7950079692,418.0,0.028054602,0.152893,2.109958108
2,0,19,940.0,719.441518027,7.19441518027,915.0,0.035798463,0.139487,2.980562943
2,1,9,1023.0,41.33749827,0.4133749827,1020.0,0.0267817,0.5288729999999999,2.535316654
2,1,11,1023.0,14.534999308,0.14534999308,1022.0,0.0267817,0.41405699999999995,2.535316654
2,1,8,1024.0,160.331995147,1.6033199514699998,1020.0,0.040783417,0.101385,3.493269943
2,1,10,1024.0,108.67734938999999,1.0867734939,1021.0,0.035798463,0.0971,2.980562943
2,0,11,1028.0,65253.775946588,652.5377594658801,18.0,0.025547585,0.022373,1.650573132
2,1,4,1030.0,11877.67430454,118.7767430454,298.0,0.0267817,0.364006,2.535316654
0,0,5,1051.0,723.182621501,7.23182621501,1027.0,0.008672056,0.019875,0.307646299
2,0,18,1071.0,20566.887015443,205.66887015443,184.0,0.040783417,0.233929,3.493269943
2,0,11,1126.0,2231.7002583119997,22.317002583119997,1049.0,0.028054602,0.096352,2.109958108
2,0,1,1171.0,17602.832986980997,176.02832986980997,417.0,0.035798463,0.196507,2.980562943
0,0,2,1190.0,25678.059789871004,256.78059789871,325.0,0.008672056,0.022295,0.307646299
0,0,0,1190.0,26249.687467391006,262.49687467391004,324.0,0.008672056,0.019059,0.307646299
0,0,1,1190.0,25168.375026354,251.68375026354,324.0,0.008672056,0.026829000000000002,0.307646299
0,0,3,1205.0,26135.634123681,261.35634123681,334.0,0.008672056,0.02051,0.307646299
2,1,4,1419.0,502.406120446,5.02406120446,1406.0,0.035798463,0.091038,2.980562943
2,1,8,1421.0,189.58830246600002,1.8958830246600002,1415.0,0.040783417,0.140219,3.493269943
